ID 	 SPEED
------	-------
0 	 56<---exceeded
1 	 45
3 	 39
4 	 67<---exceeded
5 	 49
7 	 48
12 	 37
11 	 30
13 	 31
14 	 53<---exceeded
15 	 50
23 	 49
24 	 58<---exceeded
34 	 63<---exceeded
37 	 46
39 	 37
43 	 49
53 	 48
55 	 43
56 	 45
57 	 59<---exceeded
59 	 54<---exceeded
65 	 91<---exceeded
66 	 58<---exceeded
69 	 93<---exceeded
71 	 93<---exceeded
94 	 49
98 	 59<---exceeded
99 	 76<---exceeded
100 	 59<---exceeded
101 	 58<---exceeded
104 	 70<---exceeded
107 	 144<---exceeded
105 	 85<---exceeded
113 	 46
